items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['A', 'C', 'E', 'F', 'H', 'I']"
"['B', 'D', 'H', 'N', 'P', 'Q']"
"['B', 'D', 'I', 'L', 'P', 'Q']"
"['B', 'F', 'I', 'K', 'N', 'P']"
"['A', 'B', 'E', 'F', 'G', 'M']"
"['E', 'G', 'J', 'K', 'M', 'N']"
"['F', 'H', 'I', 'J', 'M', 'O']"
"['C', 'D', 'E', 'H', 'J', 'K']"
"['A', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'D', 'E', 'G', 'J', 'N']"
"['B', 'C', 'K', 'L', 'N', 'O']"
"['A', 'H', 'I', 'J', 'P', 'Q']"
"['F', 'G', 'J', 'M', 'O', 'P']"
"['C', 'D', 'E', 'K', 'O', 'Q']"
"['A', 'E', 'F', 'I', 'M', 'N']"
"['A', 'C', 'G', 'M', 'O', 'P']"
"['B', 'D', 'F', 'M', 'N', 'Q']"
"['A', 'D', 'F', 'H', 'J', 'M']"
"['C', 'E', 'G', 'H', 'L', 'Q']"
"['A', 'D', 'F', 'M', 'N', 'O']"
"['B', 'D', 'E', 'G', 'O', 'P']"
"['B', 'C', 'F', 'I', 'J', 'N']"
"['A', 'B', 'D', 'I', 'J', 'M']"
"['B', 'D', 'G', 'J', 'O', 'P']"
"['A', 'C', 'D', 'I', 'K', 'L']"
"['C', 'E', 'F', 'H', 'K', 'Q']"
"['A', 'D', 'G', 'H', 'M', 'Q']"
"['B', 'F', 'I', 'K', 'L', 'P']"
"['A', 'E', 'G', 'H', 'J', 'P']"
"['B', 'E', 'G', 'J', 'K', 'L']"
"['A', 'D', 'E', 'I', 'K', 'P']"
"['B', 'G', 'H', 'J', 'N', 'Q']"
"['A', 'E', 'G', 'K', 'P', 'Q']"
"['F', 'J', 'L', 'M', 'P', 'Q']"
"['E', 'G', 'H', 'I', 'L', 'N']"
"['B', 'D', 'I', 'M', 'N', 'Q']"
"['E', 'H', 'K', 'L', 'N', 'Q']"
"['C', 'D', 'F', 'H', 'J', 'P']"
"['B', 'D', 'H', 'J', 'L', 'N']"
"['A', 'B', 'C', 'F', 'I', 'P']"
"['D', 'F', 'G', 'K', 'N', 'P']"
"['A', 'D', 'F', 'G', 'M', 'O']"
"['D', 'J', 'L', 'N', 'P', 'Q']"
"['D', 'F', 'H', 'J', 'N', 'P']"
"['A', 'D', 'E', 'K', 'M', 'N']"
"['A', 'D', 'E', 'K', 'L', 'M']"
"['B', 'H', 'J', 'N', 'P', 'Q']"
"['D', 'F', 'K', 'M', 'N', 'Q']"
"['D', 'G', 'H', 'M', 'O', 'P']"
"['B', 'F', 'I', 'K', 'M', 'O']"
"['D', 'E', 'F', 'H', 'K', 'P']"
"['A', 'H', 'J', 'M', 'N', 'P']"
"['A', 'D', 'J', 'L', 'N', 'Q']"
"['C', 'F', 'G', 'H', 'I', 'M']"
"['D', 'L', 'N', 'O', 'P', 'Q']"
"['E', 'I', 'K', 'M', 'N', 'O']"
"['G', 'I', 'L', 'N', 'O', 'P']"
"['A', 'D', 'E', 'F', 'J', 'K']"
"['B', 'E', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'G', 'H', 'J', 'L']"
"['E', 'F', 'G', 'I', 'K', 'O']"
"['B', 'D', 'H', 'K', 'O', 'P']"
"['A', 'D', 'F', 'I', 'K', 'N']"
"['B', 'C', 'J', 'M', 'O', 'P']"
"['B', 'D', 'F', 'H', 'I', 'J']"
"['A', 'D', 'F', 'G', 'I', 'N']"
"['C', 'D', 'E', 'G', 'I', 'L']"
"['C', 'G', 'H', 'I', 'M', 'O']"
"['D', 'E', 'F', 'G', 'H', 'Q']"
"['D', 'E', 'F', 'G', 'M', 'P']"
"['B', 'E', 'F', 'J', 'O', 'Q']"
"['B', 'D', 'E', 'G', 'K', 'Q']"
"['C', 'E', 'F', 'K', 'L', 'N']"
"['B', 'C', 'D', 'F', 'M', 'O']"
"['E', 'H', 'I', 'J', 'K', 'M']"
"['A', 'B', 'D', 'G', 'I', 'O']"
"['F', 'G', 'H', 'I', 'K', 'L']"
"['C', 'H', 'I', 'L', 'M', 'P']"
"['F', 'H', 'I', 'L', 'N', 'Q']"
"['B', 'C', 'D', 'I', 'J', 'O']"
"['C', 'D', 'F', 'I', 'J', 'O']"
"['F', 'G', 'I', 'K', 'L', 'O']"
"['A', 'C', 'D', 'G', 'K', 'M']"
"['A', 'G', 'H', 'L', 'M', 'N']"
"['A', 'C', 'H', 'L', 'P', 'Q']"
"['G', 'H', 'I', 'K', 'M', 'N']"
"['A', 'K', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'F', 'H', 'K']"
"['A', 'C', 'D', 'G', 'L', 'P']"
"['D', 'F', 'J', 'N', 'P', 'Q']"
"['E', 'F', 'H', 'K', 'L', 'N']"
"['B', 'F', 'H', 'J', 'O', 'Q']"
"['A', 'B', 'M', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'K', 'N']"
"['A', 'C', 'D', 'K', 'L', 'M']"
"['B', 'C', 'F', 'G', 'K', 'Q']"
"['A', 'B', 'D', 'F', 'L', 'N']"
"['B', 'D', 'J', 'L', 'M', 'Q']"
"['D', 'E', 'I', 'L', 'N', 'P']"
"['D', 'F', 'G', 'H', 'L', 'O']"
"['G', 'H', 'I', 'J', 'O', 'P']"
"['A', 'G', 'H', 'L', 'N', 'Q']"
"['A', 'D', 'I', 'J', 'K', 'L']"
"['A', 'H', 'I', 'J', 'L', 'M']"
"['D', 'E', 'F', 'I', 'M', 'O']"
"['C', 'F', 'L', 'M', 'N', 'Q']"
"['C', 'E', 'G', 'L', 'M', 'Q']"
"['A', 'F', 'K', 'L', 'N', 'P']"
"['B', 'H', 'K', 'L', 'M', 'P']"
"['F', 'G', 'I', 'K', 'M', 'Q']"
"['C', 'D', 'F', 'G', 'H', 'L']"
"['B', 'E', 'F', 'J', 'L', 'O']"
"['F', 'H', 'I', 'J', 'N', 'P']"
"['A', 'D', 'E', 'F', 'J', 'P']"
"['B', 'F', 'G', 'I', 'J', 'P']"
"['A', 'B', 'E', 'H', 'K', 'M']"
"['A', 'B', 'E', 'J', 'K', 'N']"
"['F', 'G', 'I', 'J', 'L', 'N']"
"['A', 'E', 'G', 'J', 'L', 'Q']"
"['B', 'C', 'E', 'I', 'J', 'P']"
"['A', 'F', 'K', 'L', 'M', 'Q']"
"['C', 'D', 'F', 'I', 'J', 'P']"
"['C', 'G', 'L', 'M', 'N', 'O']"
"['D', 'F', 'G', 'H', 'M', 'O']"
"['C', 'F', 'H', 'I', 'N', 'P']"
"['B', 'D', 'H', 'L', 'N', 'O']"
"['B', 'D', 'E', 'F', 'L', 'Q']"
"['B', 'C', 'J', 'K', 'M', 'Q']"
"['B', 'G', 'I', 'M', 'N', 'O']"
"['A', 'B', 'E', 'F', 'L', 'N']"
"['C', 'I', 'K', 'L', 'O', 'P']"
"['C', 'F', 'G', 'H', 'K', 'M']"
"['A', 'F', 'H', 'J', 'N', 'Q']"
"['B', 'E', 'F', 'I', 'K', 'P']"
"['A', 'D', 'G', 'J', 'N', 'P']"
"['A', 'D', 'E', 'I', 'J', 'P']"
"['D', 'H', 'L', 'M', 'O', 'P']"
"['A', 'C', 'H', 'I', 'K', 'Q']"
"['E', 'F', 'K', 'M', 'O', 'Q']"
"['E', 'H', 'K', 'L', 'M', 'O']"
"['A', 'E', 'F', 'G', 'K', 'L']"
"['A', 'C', 'D', 'E', 'F', 'G']"
"['G', 'H', 'J', 'O', 'P', 'Q']"
"['C', 'D', 'E', 'K', 'M', 'N']"
"['A', 'B', 'F', 'K', 'N', 'Q']"
"['G', 'H', 'J', 'K', 'L', 'O']"
"['B', 'D', 'E', 'G', 'K', 'M']"
"['A', 'G', 'K', 'M', 'N', 'O']"
"['C', 'D', 'G', 'I', 'K', 'Q']"
"['B', 'F', 'I', 'J', 'K', 'M']"
"['E', 'F', 'G', 'H', 'J', 'Q']"
"['A', 'D', 'G', 'I', 'J', 'O']"
"['A', 'C', 'D', 'H', 'I', 'L']"
"['G', 'H', 'K', 'M', 'N', 'P']"
"['C', 'D', 'G', 'I', 'M', 'N']"
"['D', 'F', 'H', 'K', 'L', 'P']"
"['D', 'E', 'L', 'N', 'P', 'Q']"
"['D', 'F', 'H', 'K', 'L', 'Q']"
"['B', 'C', 'H', 'J', 'K', 'M']"
"['A', 'B', 'E', 'I', 'L', 'Q']"
"['A', 'C', 'K', 'L', 'M', 'Q']"
"['C', 'G', 'H', 'J', 'M', 'O']"
"['A', 'D', 'F', 'J', 'O', 'Q']"
"['A', 'D', 'E', 'J', 'M', 'Q']"
"['D', 'F', 'I', 'L', 'P', 'Q']"
"['A', 'G', 'H', 'J', 'O', 'P']"
"['C', 'F', 'H', 'I', 'P', 'Q']"
"['G', 'H', 'J', 'K', 'N', 'O']"
"['A', 'C', 'H', 'I', 'J', 'K']"
"['A', 'B', 'E', 'H', 'N', 'Q']"
"['A', 'F', 'H', 'I', 'L', 'O']"
"['E', 'H', 'J', 'N', 'O', 'Q']"
"['C', 'D', 'E', 'K', 'M', 'P']"
"['F', 'H', 'I', 'L', 'N', 'O']"
"['D', 'F', 'J', 'M', 'N', 'O']"
"['B', 'C', 'E', 'J', 'N', 'O']"
"['B', 'E', 'M', 'N', 'O', 'P']"
"['D', 'G', 'L', 'N', 'O', 'P']"
"['A', 'C', 'D', 'F', 'G', 'M']"
"['A', 'C', 'E', 'F', 'G', 'O']"
"['B', 'E', 'F', 'H', 'K', 'L']"
"['F', 'H', 'K', 'N', 'P', 'Q']"
"['F', 'I', 'J', 'K', 'L', 'Q']"
"['E', 'F', 'G', 'M', 'N', 'O']"
"['A', 'B', 'C', 'F', 'H', 'M']"
"['C', 'F', 'J', 'K', 'L', 'O']"
"['A', 'B', 'D', 'J', 'K', 'Q']"
"['F', 'G', 'J', 'K', 'L', 'M']"
"['A', 'D', 'E', 'G', 'L', 'N']"
"['A', 'B', 'E', 'J', 'L', 'M']"
"['A', 'D', 'E', 'F', 'K', 'L']"
"['C', 'D', 'G', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'J', 'M', 'N']"
"['D', 'F', 'G', 'K', 'L', 'M']"
"['A', 'B', 'H', 'K', 'L', 'N']"
"['C', 'D', 'H', 'I', 'L', 'Q']"
"['A', 'C', 'F', 'G', 'J', 'P']"
"['A', 'E', 'F', 'I', 'L', 'M']"
"['A', 'D', 'E', 'I', 'N', 'Q']"
"['B', 'E', 'F', 'H', 'L', 'Q']"
"['C', 'D', 'H', 'I', 'M', 'Q']"
"['B', 'F', 'H', 'I', 'O', 'P']"
"['A', 'B', 'C', 'F', 'J', 'N']"
"['A', 'D', 'E', 'G', 'K', 'L']"
"['E', 'G', 'H', 'M', 'O', 'Q']"
"['B', 'C', 'K', 'L', 'M', 'O']"
"['E', 'H', 'I', 'K', 'L', 'M']"
"['A', 'B', 'C', 'H', 'J', 'P']"
"['C', 'F', 'G', 'K', 'L', 'N']"
"['F', 'G', 'I', 'L', 'O', 'P']"
"['B', 'D', 'E', 'K', 'N', 'Q']"
"['B', 'E', 'H', 'I', 'L', 'N']"
"['B', 'C', 'D', 'E', 'N', 'O']"
"['C', 'E', 'F', 'K', 'L', 'M']"
"['B', 'G', 'I', 'J', 'K', 'P']"
"['D', 'E', 'F', 'I', 'K', 'N']"
"['K', 'M', 'N', 'O', 'P', 'Q']"
"['C', 'H', 'I', 'J', 'M', 'Q']"
"['B', 'D', 'F', 'J', 'O', 'Q']"
"['D', 'F', 'H', 'I', 'K', 'M']"
"['B', 'D', 'K', 'L', 'M', 'N']"
"['C', 'H', 'I', 'K', 'M', 'Q']"
"['G', 'H', 'I', 'N', 'O', 'Q']"
"['A', 'E', 'L', 'M', 'N', 'P']"
"['A', 'C', 'G', 'H', 'J', 'O']"
"['D', 'E', 'H', 'I', 'O', 'P']"
"['F', 'J', 'K', 'L', 'N', 'O']"
"['B', 'C', 'D', 'L', 'N', 'P']"
"['A', 'C', 'E', 'K', 'L', 'N']"
"['B', 'C', 'E', 'F', 'H', 'M']"
"['B', 'D', 'E', 'K', 'O', 'P']"
"['D', 'F', 'I', 'L', 'M', 'P']"
"['C', 'E', 'K', 'L', 'M', 'Q']"
"['B', 'F', 'H', 'K', 'L', 'N']"
"['C', 'J', 'K', 'N', 'O', 'P']"
"['D', 'G', 'H', 'J', 'M', 'Q']"
"['A', 'C', 'F', 'G', 'J', 'K']"
"['A', 'D', 'F', 'J', 'L', 'P']"
"['B', 'E', 'H', 'I', 'J', 'N']"
"['B', 'F', 'G', 'I', 'L', 'P']"
"['A', 'B', 'H', 'M', 'N', 'O']"
"['A', 'B', 'H', 'K', 'M', 'N']"
"['A', 'E', 'F', 'O', 'P', 'Q']"
"['A', 'D', 'G', 'I', 'K', 'P']"
"['A', 'J', 'M', 'N', 'O', 'Q']"
"['D', 'G', 'H', 'J', 'O', 'P']"
"['B', 'D', 'E', 'M', 'O', 'P']"
"['C', 'E', 'G', 'J', 'M', 'N']"
"['E', 'I', 'M', 'N', 'P', 'Q']"
"['F', 'J', 'M', 'N', 'P', 'Q']"
"['D', 'F', 'H', 'M', 'O', 'Q']"
"['C', 'D', 'J', 'M', 'N', 'Q']"
"['A', 'F', 'I', 'J', 'K', 'M']"
"['D', 'F', 'G', 'H', 'I', 'O']"
"['A', 'D', 'I', 'J', 'K', 'P']"
"['A', 'D', 'G', 'I', 'N', 'O']"
"['B', 'C', 'F', 'H', 'K', 'Q']"
"['D', 'F', 'G', 'J', 'K', 'L']"
"['B', 'J', 'L', 'M', 'O', 'Q']"
"['C', 'E', 'L', 'M', 'N', 'O']"
"['B', 'E', 'F', 'H', 'L', 'M']"
"['A', 'E', 'G', 'H', 'I', 'M']"
"['C', 'F', 'H', 'J', 'K', 'N']"
"['G', 'H', 'J', 'K', 'N', 'Q']"
"['B', 'F', 'K', 'L', 'P', 'Q']"
"['A', 'I', 'K', 'M', 'N', 'O']"
"['A', 'D', 'F', 'H', 'P', 'Q']"
"['D', 'G', 'J', 'M', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'L', 'M']"
"['D', 'F', 'I', 'J', 'K', 'O']"
"['B', 'G', 'J', 'L', 'N', 'P']"
"['B', 'G', 'H', 'K', 'N', 'O']"
"['A', 'B', 'C', 'I', 'L', 'N']"
"['D', 'G', 'I', 'J', 'K', 'M']"
"['H', 'I', 'K', 'L', 'N', 'Q']"
"['A', 'B', 'C', 'D', 'F', 'Q']"
"['B', 'D', 'H', 'L', 'O', 'Q']"
"['G', 'H', 'J', 'M', 'O', 'Q']"
"['D', 'G', 'I', 'J', 'M', 'O']"
"['C', 'D', 'F', 'G', 'J', 'N']"
"['A', 'B', 'D', 'J', 'K', 'N']"
"['E', 'I', 'K', 'L', 'N', 'Q']"
"['H', 'M', 'N', 'O', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'H', 'P']"
"['A', 'C', 'D', 'E', 'F', 'Q']"
"['E', 'G', 'I', 'J', 'K', 'N']"
"['B', 'D', 'F', 'H', 'L', 'Q']"
"['A', 'G', 'I', 'J', 'N', 'Q']"
"['C', 'D', 'E', 'F', 'O', 'Q']"
"['A', 'D', 'I', 'N', 'P', 'Q']"
"['A', 'D', 'L', 'N', 'P', 'Q']"
"['D', 'E', 'I', 'K', 'N', 'Q']"
"['A', 'D', 'K', 'N', 'O', 'Q']"
"['B', 'C', 'G', 'J', 'L', 'Q']"
"['D', 'F', 'G', 'M', 'N', 'P']"
"['A', 'I', 'K', 'L', 'O', 'P']"
"['B', 'F', 'G', 'K', 'L', 'N']"
"['G', 'I', 'J', 'K', 'N', 'O']"
"['B', 'C', 'G', 'H', 'K', 'Q']"
"['C', 'D', 'F', 'G', 'K', 'Q']"
"['A', 'E', 'H', 'J', 'L', 'P']"
"['A', 'D', 'E', 'H', 'M', 'Q']"
"['B', 'F', 'H', 'M', 'P', 'Q']"
"['B', 'C', 'D', 'F', 'G', 'N']"
"['E', 'F', 'I', 'L', 'P', 'Q']"
"['B', 'E', 'F', 'G', 'I', 'N']"
"['B', 'D', 'E', 'K', 'N', 'P']"
"['H', 'I', 'J', 'K', 'M', 'Q']"
"['D', 'G', 'H', 'M', 'P', 'Q']"
"['C', 'G', 'H', 'I', 'P', 'Q']"
"['A', 'D', 'F', 'L', 'M', 'Q']"
"['D', 'E', 'I', 'N', 'O', 'P']"
"['B', 'D', 'F', 'G', 'I', 'O']"
"['E', 'F', 'J', 'K', 'L', 'M']"
"['C', 'F', 'J', 'K', 'N', 'Q']"
"['B', 'D', 'F', 'G', 'K', 'O']"
"['B', 'D', 'F', 'H', 'J', 'N']"
"['B', 'D', 'G', 'H', 'N', 'Q']"
"['C', 'F', 'G', 'H', 'M', 'N']"
"['B', 'F', 'G', 'K', 'M', 'P']"
"['A', 'C', 'E', 'F', 'H', 'M']"
"['B', 'D', 'G', 'H', 'I', 'M']"
"['A', 'H', 'I', 'O', 'P', 'Q']"
"['A', 'B', 'I', 'K', 'M', 'Q']"
"['E', 'F', 'H', 'J', 'L', 'O']"
"['C', 'F', 'K', 'N', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'M', 'Q']"
"['A', 'E', 'F', 'H', 'O', 'P']"
"['D', 'H', 'J', 'K', 'O', 'P']"
"['C', 'E', 'F', 'H', 'I', 'J']"
"['C', 'E', 'F', 'G', 'J', 'M']"
"['A', 'B', 'G', 'J', 'P', 'Q']"
"['A', 'D', 'F', 'K', 'M', 'O']"
"['B', 'D', 'G', 'H', 'I', 'L']"
"['A', 'F', 'G', 'H', 'M', 'Q']"
"['F', 'G', 'J', 'L', 'M', 'P']"
"['B', 'D', 'G', 'K', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'J', 'L']"
"['D', 'F', 'G', 'K', 'L', 'Q']"
"['B', 'F', 'H', 'J', 'P', 'Q']"
"['F', 'H', 'I', 'M', 'N', 'P']"
"['B', 'C', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'K', 'N', 'Q']"
"['E', 'G', 'H', 'K', 'O', 'Q']"
"['A', 'C', 'D', 'J', 'M', 'P']"
"['A', 'J', 'K', 'N', 'O', 'Q']"
"['C', 'H', 'K', 'O', 'P', 'Q']"
"['E', 'F', 'G', 'I', 'K', 'Q']"
"['A', 'D', 'E', 'F', 'O', 'Q']"
"['B', 'C', 'D', 'H', 'I', 'K']"
"['E', 'F', 'I', 'K', 'L', 'P']"
"['C', 'G', 'H', 'K', 'M', 'Q']"
"['A', 'B', 'C', 'M', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'M', 'Q']"
"['B', 'D', 'F', 'L', 'M', 'N']"
"['F', 'H', 'K', 'N', 'O', 'Q']"
"['B', 'C', 'F', 'G', 'N', 'O']"
"['B', 'E', 'J', 'K', 'L', 'M']"
"['D', 'F', 'G', 'I', 'L', 'Q']"
"['H', 'K', 'N', 'O', 'P', 'Q']"
"['A', 'I', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'I', 'K', 'O', 'P']"
"['A', 'B', 'I', 'J', 'M', 'O']"
"['A', 'E', 'I', 'J', 'O', 'Q']"
"['A', 'D', 'E', 'H', 'I', 'K']"
"['B', 'C', 'E', 'F', 'N', 'P']"
"['B', 'F', 'H', 'K', 'L', 'M']"
"['A', 'B', 'D', 'E', 'I', 'L']"
"['F', 'K', 'L', 'M', 'P', 'Q']"
"['F', 'H', 'J', 'K', 'N', 'P']"
"['F', 'G', 'H', 'J', 'K', 'N']"
"['B', 'C', 'G', 'H', 'N', 'Q']"
"['C', 'E', 'L', 'N', 'O', 'Q']"
"['A', 'D', 'E', 'F', 'G', 'L']"
"['B', 'D', 'E', 'I', 'L', 'M']"
"['A', 'D', 'F', 'I', 'P', 'Q']"
"['B', 'D', 'H', 'L', 'M', 'P']"
"['A', 'C', 'G', 'J', 'M', 'Q']"
"['A', 'C', 'K', 'L', 'N', 'Q']"
"['C', 'E', 'G', 'I', 'P', 'Q']"
"['G', 'H', 'K', 'O', 'P', 'Q']"
"['A', 'B', 'C', 'G', 'L', 'O']"
"['A', 'B', 'D', 'J', 'L', 'N']"
"['I', 'J', 'K', 'L', 'O', 'Q']"
"['E', 'F', 'G', 'K', 'O', 'P']"
"['A', 'C', 'D', 'G', 'I', 'L']"
"['B', 'D', 'I', 'K', 'L', 'Q']"
"['A', 'B', 'C', 'E', 'I', 'P']"
"['A', 'B', 'F', 'G', 'J', 'L']"
"['C', 'H', 'K', 'L', 'M', 'Q']"
"['F', 'G', 'H', 'J', 'K', 'L']"
"['B', 'C', 'D', 'E', 'I', 'M']"
"['C', 'D', 'E', 'F', 'H', 'J']"
"['A', 'B', 'D', 'M', 'O', 'Q']"
"['G', 'H', 'J', 'L', 'N', 'Q']"
"['A', 'G', 'I', 'K', 'M', 'P']"
"['A', 'C', 'E', 'F', 'H', 'O']"
"['C', 'F', 'K', 'L', 'N', 'Q']"
"['C', 'D', 'E', 'G', 'H', 'I']"
"['B', 'C', 'D', 'K', 'M', 'P']"
"['C', 'D', 'F', 'G', 'L', 'M']"
"['A', 'B', 'E', 'G', 'J', 'Q']"
"['A', 'D', 'F', 'G', 'J', 'N']"
"['A', 'C', 'E', 'M', 'N', 'O']"
"['B', 'F', 'G', 'I', 'M', 'P']"
"['A', 'C', 'G', 'I', 'L', 'P']"
"['A', 'G', 'H', 'J', 'K', 'O']"
"['C', 'I', 'L', 'N', 'O', 'P']"
"['E', 'F', 'J', 'K', 'N', 'Q']"
"['B', 'C', 'F', 'G', 'O', 'P']"
"['A', 'D', 'F', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'H', 'N', 'P']"
"['A', 'D', 'E', 'F', 'L', 'O']"
"['C', 'E', 'G', 'H', 'I', 'M']"
"['E', 'F', 'G', 'H', 'L', 'Q']"
"['B', 'C', 'E', 'G', 'L', 'Q']"
"['A', 'D', 'E', 'I', 'L', 'O']"
"['D', 'E', 'F', 'I', 'M', 'N']"
"['F', 'G', 'I', 'J', 'L', 'Q']"
"['A', 'D', 'G', 'I', 'K', 'N']"
"['B', 'G', 'H', 'N', 'P', 'Q']"
"['B', 'D', 'E', 'H', 'M', 'P']"
"['C', 'F', 'H', 'J', 'P', 'Q']"
"['B', 'C', 'D', 'G', 'L', 'P']"
"['A', 'B', 'F', 'G', 'K', 'P']"
"['B', 'E', 'F', 'H', 'M', 'O']"
"['E', 'F', 'G', 'M', 'N', 'P']"
"['A', 'D', 'E', 'H', 'I', 'O']"
"['B', 'C', 'D', 'I', 'J', 'L']"
"['B', 'C', 'D', 'H', 'K', 'L']"
"['A', 'B', 'G', 'L', 'N', 'O']"
"['A', 'E', 'I', 'M', 'N', 'O']"
"['B', 'C', 'I', 'J', 'K', 'L']"
"['C', 'F', 'H', 'I', 'L', 'P']"
"['A', 'F', 'H', 'N', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'M', 'O']"
"['C', 'D', 'H', 'I', 'M', 'P']"
"['A', 'F', 'G', 'L', 'M', 'N']"
"['C', 'D', 'F', 'I', 'K', 'P']"
"['B', 'F', 'I', 'K', 'O', 'Q']"
"['A', 'C', 'E', 'H', 'M', 'P']"
"['A', 'B', 'C', 'H', 'J', 'M']"
"['C', 'G', 'I', 'L', 'P', 'Q']"
"['B', 'C', 'G', 'H', 'N', 'O']"
"['A', 'C', 'F', 'H', 'J', 'L']"
"['D', 'H', 'J', 'N', 'O', 'P']"
"['D', 'J', 'M', 'N', 'O', 'Q']"
"['F', 'G', 'I', 'O', 'P', 'Q']"
"['B', 'E', 'H', 'J', 'P', 'Q']"
"['A', 'C', 'D', 'F', 'H', 'P']"
"['E', 'F', 'I', 'L', 'M', 'N']"
"['C', 'E', 'F', 'I', 'J', 'P']"
"['B', 'C', 'D', 'F', 'L', 'P']"
"['B', 'C', 'D', 'J', 'N', 'Q']"
"['E', 'I', 'J', 'L', 'O', 'P']"
"['A', 'B', 'L', 'M', 'N', 'O']"
"['B', 'E', 'H', 'J', 'L', 'N']"
"['A', 'H', 'J', 'M', 'O', 'P']"
"['C', 'E', 'G', 'H', 'I', 'P']"
"['E', 'F', 'I', 'L', 'M', 'Q']"
"['A', 'B', 'F', 'J', 'O', 'P']"
"['A', 'F', 'I', 'K', 'P', 'Q']"
"['A', 'C', 'D', 'E', 'P', 'Q']"
"['B', 'C', 'J', 'L', 'O', 'Q']"
"['H', 'K', 'L', 'O', 'P', 'Q']"
"['D', 'F', 'I', 'K', 'L', 'O']"
"['G', 'H', 'I', 'M', 'N', 'O']"
"['D', 'H', 'I', 'J', 'K', 'O']"
"['C', 'F', 'I', 'J', 'N', 'O']"
"['H', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'F', 'H', 'K', 'Q']"
"['G', 'J', 'L', 'M', 'P', 'Q']"
"['B', 'D', 'F', 'I', 'L', 'P']"
"['A', 'B', 'G', 'I', 'J', 'Q']"
"['A', 'C', 'E', 'I', 'J', 'O']"
"['C', 'D', 'E', 'G', 'H', 'J']"
"['B', 'D', 'I', 'M', 'O', 'Q']"
"['A', 'D', 'H', 'I', 'K', 'L']"
"['B', 'C', 'H', 'L', 'N', 'O']"
"['C', 'H', 'I', 'K', 'M', 'O']"
"['B', 'G', 'I', 'K', 'M', 'P']"
"['C', 'D', 'F', 'H', 'O', 'Q']"
"['B', 'D', 'F', 'I', 'M', 'Q']"
"['C', 'H', 'I', 'N', 'O', 'Q']"
"['G', 'H', 'I', 'J', 'L', 'O']"
"['D', 'G', 'H', 'L', 'M', 'O']"
"['G', 'I', 'J', 'O', 'P', 'Q']"
"['B', 'G', 'H', 'J', 'K', 'M']"
"['C', 'D', 'F', 'G', 'J', 'K']"
"['B', 'C', 'F', 'K', 'M', 'N']"
"['A', 'C', 'F', 'G', 'J', 'N']"
"['A', 'B', 'D', 'E', 'H', 'L']"
"['A', 'D', 'E', 'K', 'L', 'P']"
"['D', 'F', 'G', 'H', 'O', 'P']"
"['A', 'C', 'E', 'F', 'N', 'P']"
"['D', 'E', 'I', 'K', 'M', 'O']"
"['A', 'D', 'E', 'H', 'O', 'Q']"
"['A', 'C', 'J', 'K', 'N', 'P']"
"['B', 'F', 'I', 'J', 'M', 'O']"
"['B', 'C', 'D', 'I', 'M', 'P']"
"['C', 'H', 'I', 'J', 'L', 'P']"
"['A', 'H', 'I', 'J', 'O', 'P']"
"['A', 'D', 'G', 'H', 'J', 'M']"
"['C', 'D', 'I', 'M', 'O', 'P']"
"['D', 'E', 'G', 'H', 'L', 'P']"
"['B', 'C', 'E', 'G', 'J', 'L']"
"['B', 'E', 'F', 'G', 'L', 'M']"
"['A', 'B', 'D', 'F', 'H', 'L']"
"['I', 'L', 'M', 'N', 'O', 'Q']"
"['D', 'G', 'I', 'L', 'M', 'O']"
"['C', 'G', 'J', 'L', 'M', 'N']"
"['F', 'H', 'J', 'L', 'N', 'O']"
"['A', 'C', 'I', 'L', 'P', 'Q']"
"['C', 'D', 'G', 'J', 'P', 'Q']"
"['A', 'B', 'F', 'G', 'L', 'M']"
"['B', 'F', 'H', 'I', 'J', 'K']"
"['A', 'E', 'H', 'J', 'K', 'N']"
"['A', 'H', 'J', 'M', 'O', 'Q']"
"['A', 'F', 'I', 'N', 'P', 'Q']"
"['B', 'D', 'F', 'G', 'P', 'Q']"
"['B', 'C', 'I', 'J', 'K', 'M']"
"['A', 'C', 'L', 'M', 'N', 'O']"
"['D', 'F', 'H', 'K', 'M', 'O']"
"['A', 'B', 'N', 'O', 'P', 'Q']"
"['A', 'E', 'K', 'N', 'O', 'Q']"
"['E', 'F', 'J', 'L', 'M', 'N']"
"['A', 'B', 'E', 'N', 'O', 'P']"
"['A', 'B', 'F', 'G', 'I', 'K']"
"['B', 'D', 'E', 'J', 'K', 'Q']"
"['C', 'D', 'I', 'L', 'P', 'Q']"
