items
"['C', 'E', 'H', 'I', 'K']"
"['C', 'F', 'G', 'H', 'J']"
"['I', 'K', 'N', 'P', 'Q']"
"['B', 'E', 'L', 'P', 'Q']"
"['B', 'E', 'H', 'K', 'N']"
"['E', 'F', 'G', 'J', 'K']"
"['B', 'C', 'F', 'K', 'N']"
"['A', 'B', 'D', 'I', 'O']"
"['D', 'H', 'K', 'L', 'M']"
"['A', 'E', 'H', 'I', 'L']"
"['D', 'J', 'K', 'L', 'O']"
"['C', 'G', 'L', 'M', 'O']"
"['A', 'G', 'I', 'J', 'N']"
"['D', 'F', 'H', 'K', 'N']"
"['E', 'H', 'J', 'N', 'O']"
"['A', 'E', 'J', 'K', 'P']"
"['F', 'G', 'J', 'N', 'O']"
"['G', 'J', 'N', 'P', 'Q']"
"['H', 'I', 'J', 'N', 'O']"
"['D', 'I', 'N', 'P', 'Q']"
"['G', 'H', 'J', 'K', 'L']"
"['A', 'F', 'L', 'M', 'Q']"
"['D', 'E', 'F', 'K', 'M']"
"['B', 'D', 'E', 'I', 'O']"
"['A', 'C', 'H', 'I', 'N']"
"['D', 'E', 'K', 'P', 'Q']"
"['C', 'E', 'K', 'N', 'O']"
"['C', 'G', 'H', 'K', 'O']"
"['D', 'E', 'F', 'J', 'N']"
"['A', 'J', 'K', 'M', 'Q']"
"['D', 'H', 'M', 'N', 'O']"
"['F', 'G', 'J', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'Q']"
"['C', 'K', 'L', 'M', 'O']"
"['B', 'I', 'J', 'L', 'P']"
"['E', 'H', 'K', 'M', 'N']"
"['A', 'C', 'D', 'I', 'P']"
"['A', 'C', 'D', 'H', 'N']"
"['C', 'H', 'J', 'N', 'P']"
"['E', 'F', 'H', 'M', 'N']"
"['B', 'D', 'F', 'H', 'P']"
"['B', 'D', 'L', 'N', 'P']"
"['B', 'F', 'G', 'I', 'P']"
"['C', 'E', 'I', 'K', 'Q']"
"['D', 'F', 'L', 'M', 'O']"
"['C', 'D', 'F', 'H', 'P']"
"['D', 'F', 'I', 'J', 'P']"
"['B', 'E', 'G', 'P', 'Q']"
"['B', 'E', 'F', 'H', 'L']"
"['A', 'I', 'J', 'L', 'Q']"
"['A', 'C', 'I', 'K', 'N']"
"['B', 'C', 'J', 'K', 'O']"
"['A', 'B', 'E', 'J', 'L']"
"['A', 'E', 'G', 'K', 'O']"
"['B', 'F', 'H', 'O', 'P']"
"['A', 'C', 'D', 'I', 'O']"
"['A', 'E', 'F', 'I', 'J']"
"['A', 'C', 'F', 'G', 'I']"
"['A', 'C', 'D', 'G', 'L']"
"['A', 'E', 'M', 'N', 'P']"
"['A', 'F', 'H', 'L', 'P']"
"['E', 'G', 'N', 'O', 'Q']"
"['B', 'F', 'N', 'O', 'P']"
"['B', 'C', 'F', 'H', 'O']"
"['A', 'E', 'O', 'P', 'Q']"
"['A', 'B', 'K', 'L', 'P']"
"['A', 'G', 'H', 'M', 'Q']"
"['D', 'F', 'M', 'O', 'P']"
"['A', 'D', 'I', 'K', 'N']"
"['A', 'B', 'C', 'F', 'N']"
"['I', 'K', 'L', 'O', 'P']"
"['C', 'H', 'I', 'N', 'O']"
"['B', 'E', 'I', 'P', 'Q']"
"['A', 'F', 'J', 'K', 'M']"
"['B', 'D', 'J', 'O', 'Q']"
"['D', 'L', 'N', 'P', 'Q']"
"['A', 'E', 'J', 'O', 'Q']"
"['E', 'G', 'I', 'O', 'P']"
"['B', 'F', 'I', 'K', 'N']"
"['E', 'F', 'K', 'L', 'O']"
"['A', 'B', 'D', 'I', 'M']"
"['D', 'E', 'H', 'J', 'O']"
"['C', 'F', 'I', 'L', 'Q']"
"['A', 'B', 'C', 'I', 'L']"
"['I', 'J', 'L', 'O', 'Q']"
"['A', 'E', 'I', 'J', 'O']"
"['K', 'L', 'M', 'O', 'Q']"
"['A', 'H', 'J', 'M', 'P']"
"['A', 'C', 'H', 'I', 'K']"
"['F', 'J', 'L', 'N', 'O']"
"['B', 'F', 'I', 'N', 'Q']"
"['C', 'G', 'H', 'L', 'N']"
"['C', 'E', 'J', 'O', 'Q']"
"['B', 'C', 'H', 'I', 'P']"
"['C', 'F', 'J', 'P', 'Q']"
"['C', 'E', 'G', 'I', 'O']"
"['E', 'G', 'I', 'M', 'O']"
"['D', 'F', 'G', 'H', 'M']"
"['E', 'H', 'J', 'M', 'N']"
"['A', 'B', 'C', 'G', 'N']"
"['A', 'D', 'I', 'N', 'Q']"
"['C', 'E', 'F', 'G', 'K']"
"['C', 'D', 'F', 'K', 'M']"
"['B', 'G', 'H', 'P', 'Q']"
"['A', 'J', 'K', 'L', 'N']"
"['F', 'H', 'M', 'N', 'O']"
"['F', 'G', 'H', 'I', 'M']"
"['C', 'H', 'I', 'O', 'P']"
"['A', 'F', 'I', 'J', 'M']"
"['H', 'J', 'K', 'N', 'O']"
"['A', 'C', 'D', 'E', 'H']"
"['C', 'E', 'G', 'P', 'Q']"
"['A', 'B', 'G', 'O', 'Q']"
"['D', 'E', 'K', 'N', 'Q']"
"['C', 'H', 'J', 'L', 'P']"
"['A', 'G', 'I', 'J', 'Q']"
"['D', 'F', 'I', 'N', 'O']"
"['E', 'H', 'K', 'N', 'Q']"
"['C', 'F', 'J', 'K', 'L']"
"['F', 'I', 'J', 'K', 'Q']"
"['B', 'C', 'G', 'H', 'K']"
"['C', 'H', 'I', 'P', 'Q']"
"['C', 'H', 'O', 'P', 'Q']"
"['D', 'E', 'J', 'O', 'Q']"
"['A', 'H', 'J', 'L', 'P']"
"['A', 'C', 'D', 'M', 'N']"
"['C', 'E', 'K', 'M', 'Q']"
"['E', 'G', 'H', 'J', 'N']"
"['D', 'G', 'H', 'L', 'O']"
"['D', 'F', 'K', 'M', 'O']"
"['E', 'G', 'H', 'L', 'P']"
"['A', 'F', 'H', 'J', 'K']"
"['D', 'G', 'H', 'J', 'N']"
"['A', 'E', 'F', 'G', 'O']"
"['B', 'F', 'I', 'K', 'M']"
"['A', 'C', 'I', 'J', 'P']"
"['E', 'F', 'J', 'K', 'O']"
"['A', 'H', 'L', 'O', 'Q']"
"['B', 'D', 'K', 'M', 'P']"
"['A', 'D', 'N', 'O', 'Q']"
"['A', 'E', 'F', 'J', 'K']"
"['A', 'B', 'I', 'K', 'L']"
"['D', 'E', 'K', 'M', 'P']"
"['B', 'E', 'H', 'J', 'N']"
"['G', 'K', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'G', 'L']"
"['A', 'C', 'D', 'L', 'N']"
"['A', 'F', 'G', 'H', 'P']"
"['A', 'E', 'G', 'N', 'P']"
"['F', 'G', 'J', 'K', 'Q']"
"['C', 'G', 'I', 'J', 'L']"
"['C', 'H', 'J', 'L', 'M']"
"['B', 'D', 'I', 'K', 'M']"
"['B', 'C', 'D', 'K', 'M']"
"['F', 'K', 'N', 'O', 'P']"
"['D', 'F', 'H', 'L', 'M']"
"['F', 'J', 'K', 'M', 'Q']"
"['D', 'H', 'L', 'N', 'P']"
"['F', 'K', 'L', 'N', 'O']"
"['B', 'E', 'F', 'J', 'O']"
"['B', 'L', 'M', 'P', 'Q']"
"['D', 'F', 'G', 'J', 'M']"
"['B', 'C', 'D', 'O', 'Q']"
"['D', 'E', 'F', 'M', 'Q']"
"['A', 'E', 'K', 'N', 'O']"
"['D', 'F', 'H', 'J', 'O']"
"['C', 'F', 'G', 'I', 'O']"
"['A', 'I', 'K', 'N', 'P']"
"['A', 'D', 'F', 'K', 'Q']"
"['D', 'E', 'G', 'I', 'P']"
"['A', 'F', 'G', 'J', 'M']"
"['A', 'B', 'E', 'G', 'M']"
"['C', 'D', 'J', 'L', 'N']"
"['C', 'G', 'I', 'J', 'N']"
"['B', 'L', 'M', 'N', 'P']"
"['I', 'K', 'L', 'N', 'P']"
"['B', 'C', 'E', 'G', 'M']"
"['C', 'H', 'K', 'M', 'N']"
"['D', 'E', 'F', 'M', 'P']"
"['B', 'C', 'D', 'H', 'K']"
"['C', 'E', 'L', 'M', 'N']"
"['E', 'N', 'O', 'P', 'Q']"
"['H', 'I', 'K', 'M', 'N']"
"['A', 'C', 'F', 'M', 'P']"
"['F', 'G', 'H', 'O', 'Q']"
"['G', 'I', 'M', 'O', 'P']"
"['E', 'F', 'H', 'O', 'P']"
"['A', 'B', 'I', 'M', 'P']"
"['A', 'C', 'G', 'H', 'Q']"
"['A', 'B', 'J', 'K', 'L']"
"['B', 'C', 'F', 'K', 'Q']"
"['A', 'F', 'H', 'I', 'J']"
"['C', 'H', 'J', 'M', 'N']"
"['E', 'G', 'K', 'N', 'P']"
"['D', 'I', 'J', 'L', 'O']"
"['A', 'F', 'K', 'M', 'N']"
"['A', 'B', 'F', 'L', 'N']"
"['I', 'J', 'K', 'L', 'P']"
"['C', 'I', 'K', 'O', 'P']"
"['B', 'G', 'H', 'J', 'P']"
"['D', 'H', 'I', 'N', 'O']"
"['G', 'K', 'L', 'M', 'O']"
"['E', 'G', 'J', 'K', 'M']"
"['B', 'C', 'E', 'J', 'N']"
"['D', 'H', 'I', 'J', 'N']"
"['A', 'B', 'I', 'J', 'N']"
"['G', 'J', 'K', 'M', 'P']"
"['C', 'F', 'H', 'K', 'N']"
"['A', 'E', 'H', 'K', 'Q']"
"['A', 'E', 'F', 'N', 'O']"
"['G', 'H', 'I', 'L', 'M']"
"['A', 'C', 'D', 'E', 'P']"
"['A', 'C', 'D', 'N', 'Q']"
"['A', 'C', 'F', 'H', 'Q']"
"['B', 'C', 'D', 'G', 'O']"
"['A', 'D', 'J', 'L', 'P']"
"['A', 'C', 'D', 'P', 'Q']"
"['B', 'F', 'H', 'J', 'M']"
"['B', 'C', 'G', 'K', 'N']"
"['B', 'C', 'G', 'O', 'P']"
"['B', 'D', 'G', 'H', 'K']"
"['D', 'F', 'H', 'I', 'M']"
"['C', 'H', 'I', 'L', 'P']"
"['C', 'E', 'K', 'M', 'N']"
"['B', 'F', 'H', 'L', 'O']"
"['D', 'G', 'H', 'M', 'P']"
"['C', 'D', 'I', 'J', 'N']"
"['F', 'I', 'J', 'M', 'O']"
"['A', 'F', 'I', 'J', 'Q']"
"['B', 'D', 'H', 'I', 'Q']"
"['D', 'E', 'H', 'K', 'Q']"
"['B', 'E', 'N', 'O', 'P']"
"['F', 'H', 'I', 'M', 'P']"
"['A', 'G', 'J', 'K', 'O']"
"['B', 'C', 'F', 'K', 'O']"
"['F', 'M', 'N', 'O', 'P']"
"['B', 'D', 'E', 'H', 'O']"
"['A', 'C', 'D', 'F', 'N']"
"['B', 'D', 'L', 'M', 'N']"
"['C', 'D', 'F', 'H', 'J']"
"['D', 'G', 'H', 'K', 'L']"
"['C', 'D', 'F', 'J', 'Q']"
"['D', 'H', 'J', 'L', 'N']"
"['F', 'J', 'L', 'N', 'P']"
"['B', 'D', 'K', 'L', 'P']"
"['B', 'E', 'F', 'I', 'Q']"
"['B', 'C', 'O', 'P', 'Q']"
"['J', 'M', 'N', 'O', 'P']"
"['D', 'E', 'G', 'M', 'O']"
"['A', 'B', 'F', 'G', 'H']"
"['B', 'H', 'I', 'M', 'P']"
"['D', 'E', 'I', 'N', 'Q']"
"['B', 'E', 'M', 'O', 'Q']"
"['A', 'D', 'E', 'N', 'Q']"
"['E', 'I', 'J', 'L', 'Q']"
"['B', 'D', 'H', 'N', 'O']"
"['B', 'C', 'L', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'I']"
"['D', 'F', 'H', 'L', 'Q']"
"['F', 'H', 'I', 'O', 'Q']"
"['B', 'D', 'G', 'L', 'O']"
"['E', 'G', 'K', 'N', 'O']"
"['B', 'K', 'L', 'N', 'O']"
"['A', 'F', 'G', 'L', 'Q']"
"['A', 'D', 'I', 'M', 'P']"
"['A', 'B', 'D', 'I', 'P']"
"['B', 'D', 'G', 'N', 'Q']"
"['A', 'B', 'I', 'J', 'P']"
"['C', 'E', 'F', 'M', 'P']"
"['A', 'D', 'H', 'I', 'J']"
"['B', 'D', 'H', 'I', 'J']"
"['B', 'C', 'F', 'H', 'N']"
"['F', 'H', 'I', 'J', 'Q']"
"['C', 'K', 'L', 'O', 'Q']"
"['C', 'D', 'I', 'O', 'P']"
"['C', 'D', 'F', 'M', 'Q']"
"['A', 'C', 'F', 'J', 'O']"
"['C', 'F', 'I', 'N', 'O']"
"['G', 'H', 'K', 'M', 'P']"
"['B', 'C', 'K', 'O', 'P']"
"['A', 'B', 'D', 'F', 'J']"
"['A', 'B', 'E', 'F', 'K']"
"['A', 'H', 'K', 'N', 'O']"
"['C', 'H', 'K', 'M', 'Q']"
"['E', 'F', 'I', 'K', 'P']"
"['D', 'E', 'I', 'L', 'M']"
"['E', 'H', 'I', 'J', 'K']"
"['B', 'C', 'E', 'G', 'K']"
"['B', 'H', 'K', 'M', 'Q']"
"['B', 'G', 'O', 'P', 'Q']"
"['C', 'D', 'G', 'L', 'P']"
"['J', 'K', 'L', 'P', 'Q']"
"['D', 'I', 'N', 'O', 'P']"
"['B', 'G', 'H', 'K', 'Q']"
"['B', 'I', 'J', 'M', 'P']"
"['C', 'D', 'L', 'O', 'P']"
"['B', 'G', 'H', 'I', 'M']"
"['C', 'G', 'K', 'O', 'Q']"
"['A', 'G', 'J', 'N', 'Q']"
"['B', 'C', 'K', 'L', 'M']"
"['D', 'H', 'I', 'L', 'P']"
"['D', 'E', 'H', 'I', 'N']"
"['E', 'I', 'L', 'O', 'P']"
"['G', 'I', 'N', 'P', 'Q']"
"['B', 'E', 'F', 'H', 'Q']"
"['C', 'E', 'G', 'H', 'I']"
"['E', 'I', 'L', 'N', 'O']"
"['A', 'D', 'F', 'K', 'M']"
"['B', 'C', 'G', 'K', 'O']"
"['C', 'D', 'F', 'H', 'I']"
"['C', 'H', 'I', 'K', 'O']"
"['A', 'C', 'F', 'I', 'J']"
"['D', 'J', 'L', 'M', 'P']"
"['C', 'I', 'K', 'L', 'O']"
"['A', 'D', 'H', 'K', 'M']"
"['A', 'G', 'K', 'L', 'O']"
"['H', 'I', 'J', 'P', 'Q']"
"['B', 'F', 'I', 'N', 'O']"
"['C', 'E', 'G', 'K', 'P']"
"['D', 'F', 'J', 'K', 'L']"
"['A', 'D', 'E', 'K', 'O']"
"['D', 'E', 'H', 'I', 'J']"
"['B', 'I', 'J', 'L', 'Q']"
"['A', 'I', 'K', 'N', 'O']"
"['B', 'G', 'L', 'N', 'Q']"
"['A', 'D', 'E', 'I', 'L']"
"['A', 'F', 'L', 'P', 'Q']"
"['D', 'E', 'H', 'L', 'M']"
"['A', 'C', 'K', 'O', 'Q']"
"['C', 'D', 'G', 'N', 'P']"
"['F', 'H', 'I', 'K', 'P']"
"['B', 'C', 'D', 'G', 'L']"
"['C', 'F', 'G', 'O', 'P']"
"['B', 'E', 'H', 'I', 'Q']"
"['B', 'D', 'F', 'G', 'H']"
"['B', 'G', 'L', 'N', 'P']"
"['D', 'G', 'H', 'P', 'Q']"
"['A', 'E', 'J', 'L', 'Q']"
"['C', 'E', 'I', 'M', 'Q']"
"['E', 'F', 'J', 'K', 'M']"
"['A', 'C', 'I', 'J', 'O']"
"['F', 'G', 'H', 'O', 'P']"
"['B', 'F', 'H', 'J', 'Q']"
"['D', 'J', 'M', 'N', 'P']"
"['B', 'D', 'H', 'J', 'K']"
"['G', 'K', 'N', 'O', 'Q']"
"['C', 'I', 'L', 'P', 'Q']"
"['A', 'F', 'G', 'H', 'Q']"
"['F', 'G', 'H', 'I', 'Q']"
"['A', 'D', 'E', 'G', 'N']"
"['C', 'G', 'I', 'K', 'O']"
"['B', 'E', 'I', 'N', 'Q']"
"['C', 'D', 'K', 'L', 'O']"
"['D', 'F', 'G', 'L', 'O']"
"['A', 'H', 'J', 'K', 'O']"
"['G', 'I', 'J', 'K', 'M']"
"['A', 'C', 'F', 'G', 'N']"
"['E', 'F', 'H', 'L', 'Q']"
"['C', 'D', 'G', 'H', 'Q']"
"['D', 'F', 'G', 'H', 'L']"
"['C', 'G', 'H', 'I', 'M']"
"['A', 'E', 'I', 'L', 'O']"
"['A', 'E', 'K', 'L', 'O']"
"['B', 'C', 'H', 'M', 'O']"
"['D', 'G', 'H', 'L', 'Q']"
"['D', 'F', 'G', 'M', 'O']"
"['B', 'C', 'E', 'K', 'N']"
"['C', 'D', 'F', 'O', 'P']"
"['C', 'D', 'G', 'M', 'N']"
"['C', 'D', 'M', 'P', 'Q']"
"['A', 'B', 'H', 'I', 'P']"
"['A', 'D', 'G', 'K', 'O']"
"['C', 'D', 'E', 'G', 'N']"
"['D', 'E', 'F', 'M', 'N']"
"['C', 'E', 'F', 'M', 'N']"
"['C', 'F', 'I', 'M', 'Q']"
"['B', 'E', 'G', 'H', 'K']"
"['D', 'E', 'H', 'I', 'O']"
"['C', 'D', 'E', 'I', 'P']"
"['B', 'G', 'J', 'K', 'O']"
"['E', 'G', 'I', 'J', 'L']"
"['A', 'F', 'H', 'J', 'L']"
"['H', 'I', 'L', 'M', 'Q']"
"['E', 'H', 'M', 'N', 'Q']"
"['F', 'H', 'L', 'M', 'O']"
"['D', 'F', 'G', 'L', 'N']"
"['B', 'F', 'G', 'K', 'P']"
"['A', 'C', 'D', 'F', 'M']"
"['E', 'M', 'N', 'P', 'Q']"
"['E', 'J', 'K', 'P', 'Q']"
"['D', 'F', 'G', 'K', 'L']"
"['A', 'L', 'M', 'O', 'Q']"
"['C', 'F', 'G', 'H', 'N']"
"['H', 'M', 'N', 'O', 'P']"
"['C', 'H', 'I', 'L', 'O']"
"['A', 'D', 'J', 'K', 'P']"
"['E', 'F', 'I', 'K', 'L']"
"['A', 'E', 'H', 'J', 'M']"
"['A', 'D', 'I', 'O', 'Q']"
"['B', 'C', 'E', 'N', 'O']"
"['C', 'G', 'L', 'O', 'P']"
"['A', 'G', 'I', 'L', 'P']"
"['E', 'I', 'J', 'K', 'O']"
"['B', 'G', 'H', 'J', 'L']"
"['K', 'L', 'M', 'P', 'Q']"
"['G', 'I', 'J', 'P', 'Q']"
"['E', 'J', 'K', 'L', 'O']"
"['B', 'C', 'E', 'J', 'Q']"
"['B', 'F', 'K', 'N', 'P']"
"['D', 'H', 'K', 'L', 'N']"
"['B', 'C', 'E', 'I', 'M']"
"['B', 'C', 'H', 'I', 'Q']"
"['A', 'F', 'G', 'M', 'P']"
"['D', 'F', 'H', 'J', 'Q']"
"['C', 'E', 'G', 'I', 'K']"
"['A', 'F', 'G', 'H', 'K']"
"['B', 'C', 'G', 'H', 'L']"
"['A', 'F', 'I', 'M', 'O']"
"['L', 'M', 'N', 'P', 'Q']"
"['A', 'C', 'I', 'K', 'L']"
"['C', 'D', 'J', 'O', 'Q']"
"['B', 'G', 'I', 'M', 'Q']"
"['A', 'C', 'E', 'J', 'Q']"
"['A', 'C', 'E', 'M', 'P']"
"['A', 'J', 'K', 'L', 'P']"
"['D', 'F', 'H', 'I', 'K']"
"['B', 'C', 'D', 'G', 'K']"
"['A', 'C', 'F', 'G', 'K']"
"['B', 'I', 'J', 'N', 'P']"
"['B', 'G', 'I', 'J', 'Q']"
"['A', 'F', 'G', 'H', 'O']"
"['A', 'G', 'H', 'I', 'Q']"
"['C', 'E', 'G', 'M', 'Q']"
"['E', 'G', 'H', 'I', 'J']"
"['F', 'H', 'J', 'N', 'O']"
"['D', 'H', 'I', 'O', 'P']"
"['C', 'G', 'J', 'L', 'P']"
"['C', 'F', 'G', 'H', 'O']"
"['A', 'G', 'J', 'L', 'O']"
"['A', 'F', 'G', 'L', 'P']"
"['A', 'D', 'F', 'M', 'N']"
"['F', 'H', 'J', 'N', 'Q']"
"['A', 'D', 'F', 'M', 'P']"
"['G', 'H', 'I', 'O', 'P']"
"['E', 'I', 'J', 'K', 'Q']"
"['D', 'E', 'N', 'P', 'Q']"
"['C', 'E', 'G', 'H', 'P']"
"['C', 'D', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'O', 'P']"
"['E', 'K', 'M', 'N', 'O']"
"['A', 'B', 'C', 'D', 'M']"
"['A', 'C', 'D', 'H', 'K']"
"['F', 'G', 'M', 'N', 'Q']"
"['B', 'D', 'G', 'H', 'Q']"
"['A', 'D', 'L', 'N', 'O']"
"['B', 'C', 'D', 'J', 'K']"
"['B', 'C', 'D', 'I', 'L']"
"['B', 'G', 'I', 'J', 'L']"
"['A', 'D', 'L', 'M', 'N']"
"['A', 'B', 'F', 'H', 'Q']"
"['B', 'G', 'M', 'N', 'O']"
"['A', 'D', 'E', 'H', 'O']"
"['A', 'D', 'H', 'N', 'P']"
"['E', 'I', 'L', 'N', 'P']"
"['E', 'F', 'G', 'J', 'Q']"
"['C', 'E', 'I', 'J', 'Q']"
"['A', 'B', 'F', 'G', 'Q']"
"['F', 'G', 'I', 'K', 'M']"
"['C', 'F', 'J', 'L', 'Q']"
"['A', 'C', 'D', 'H', 'J']"
"['A', 'C', 'G', 'L', 'Q']"
"['G', 'I', 'J', 'L', 'N']"
"['C', 'E', 'I', 'N', 'P']"
"['A', 'F', 'J', 'N', 'P']"
"['B', 'K', 'M', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'M']"
"['G', 'H', 'L', 'N', 'Q']"
"['F', 'I', 'K', 'L', 'N']"
"['A', 'B', 'K', 'M', 'P']"
"['B', 'C', 'I', 'K', 'N']"
"['B', 'D', 'E', 'I', 'M']"
"['A', 'D', 'H', 'L', 'Q']"
"['A', 'G', 'H', 'I', 'K']"
"['B', 'G', 'K', 'L', 'N']"
"['C', 'F', 'H', 'J', 'N']"
"['E', 'G', 'K', 'L', 'P']"
"['B', 'E', 'I', 'K', 'P']"
"['C', 'E', 'I', 'K', 'M']"
"['C', 'D', 'L', 'M', 'P']"
"['A', 'D', 'J', 'K', 'O']"
"['F', 'G', 'L', 'N', 'O']"
"['A', 'B', 'D', 'F', 'G']"
"['A', 'C', 'D', 'E', 'I']"
"['A', 'H', 'J', 'N', 'Q']"
"['I', 'K', 'M', 'P', 'Q']"
"['C', 'F', 'H', 'M', 'P']"
"['A', 'B', 'G', 'K', 'L']"
"['B', 'J', 'L', 'O', 'Q']"
"['A', 'E', 'F', 'I', 'Q']"
"['A', 'D', 'E', 'F', 'M']"
"['E', 'I', 'K', 'N', 'P']"
"['A', 'H', 'J', 'K', 'L']"
"['A', 'H', 'I', 'J', 'O']"
"['D', 'E', 'F', 'G', 'M']"
"['B', 'D', 'G', 'M', 'O']"
"['B', 'J', 'K', 'M', 'O']"
"['F', 'G', 'H', 'J', 'P']"
"['A', 'E', 'J', 'K', 'M']"
"['E', 'G', 'H', 'M', 'O']"
"['C', 'F', 'H', 'I', 'N']"
"['I', 'L', 'M', 'N', 'Q']"
"['C', 'D', 'G', 'H', 'K']"
"['F', 'I', 'N', 'O', 'P']"
"['A', 'C', 'O', 'P', 'Q']"
"['C', 'E', 'J', 'L', 'O']"
"['A', 'E', 'L', 'M', 'N']"
"['E', 'G', 'I', 'O', 'Q']"
"['A', 'F', 'J', 'L', 'O']"
"['B', 'C', 'F', 'G', 'N']"
"['B', 'D', 'G', 'K', 'L']"
"['A', 'K', 'L', 'O', 'P']"
"['A', 'E', 'J', 'M', 'N']"
"['E', 'G', 'M', 'O', 'P']"
"['B', 'G', 'L', 'M', 'N']"
"['A', 'I', 'K', 'L', 'P']"
"['A', 'E', 'I', 'L', 'M']"
"['G', 'J', 'K', 'M', 'O']"
"['B', 'H', 'I', 'O', 'Q']"
"['D', 'F', 'N', 'P', 'Q']"
"['D', 'K', 'L', 'N', 'O']"
"['B', 'E', 'K', 'L', 'M']"
"['B', 'F', 'H', 'J', 'P']"
"['B', 'J', 'O', 'P', 'Q']"
"['E', 'G', 'H', 'K', 'M']"
"['B', 'D', 'F', 'N', 'Q']"
"['F', 'G', 'K', 'L', 'Q']"
"['A', 'D', 'H', 'L', 'P']"
"['A', 'D', 'E', 'I', 'M']"
"['E', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'K', 'N']"
"['A', 'F', 'H', 'I', 'Q']"
"['B', 'C', 'D', 'E', 'F']"
"['E', 'H', 'J', 'O', 'P']"
"['G', 'I', 'J', 'O', 'Q']"
"['D', 'E', 'G', 'I', 'L']"
"['A', 'E', 'N', 'P', 'Q']"
"['G', 'H', 'J', 'M', 'N']"
"['C', 'E', 'J', 'N', 'P']"
"['D', 'F', 'G', 'O', 'Q']"
"['A', 'E', 'J', 'N', 'O']"
"['B', 'D', 'H', 'I', 'K']"
"['D', 'G', 'H', 'I', 'J']"
"['E', 'H', 'L', 'M', 'Q']"
"['A', 'G', 'L', 'O', 'Q']"
"['A', 'E', 'G', 'H', 'K']"
"['B', 'F', 'H', 'M', 'O']"
"['F', 'J', 'K', 'L', 'Q']"
"['E', 'H', 'L', 'M', 'P']"
"['B', 'D', 'E', 'K', 'L']"
"['E', 'H', 'I', 'M', 'N']"
"['A', 'D', 'H', 'J', 'Q']"
"['A', 'C', 'I', 'J', 'K']"
"['D', 'G', 'H', 'I', 'N']"
"['A', 'J', 'K', 'L', 'Q']"
"['A', 'E', 'H', 'J', 'K']"
"['A', 'D', 'F', 'K', 'P']"
"['A', 'E', 'I', 'J', 'P']"
"['A', 'C', 'G', 'M', 'P']"
"['C', 'H', 'M', 'N', 'Q']"
"['A', 'E', 'F', 'G', 'H']"
"['B', 'D', 'G', 'K', 'N']"
"['B', 'M', 'N', 'O', 'P']"
"['D', 'F', 'H', 'M', 'Q']"
"['B', 'M', 'N', 'O', 'Q']"
"['A', 'C', 'F', 'G', 'H']"
"['A', 'B', 'C', 'L', 'Q']"
"['A', 'C', 'M', 'N', 'O']"
"['D', 'K', 'L', 'P', 'Q']"
"['D', 'F', 'K', 'M', 'Q']"
"['D', 'E', 'F', 'N', 'O']"
"['B', 'F', 'G', 'J', 'M']"
"['B', 'C', 'D', 'E', 'M']"
"['B', 'D', 'H', 'K', 'L']"
"['F', 'G', 'I', 'L', 'M']"
"['F', 'I', 'L', 'M', 'N']"
"['H', 'I', 'J', 'L', 'O']"
"['A', 'B', 'D', 'J', 'Q']"
"['F', 'I', 'J', 'O', 'P']"
"['A', 'B', 'D', 'L', 'Q']"
"['B', 'C', 'H', 'K', 'N']"
"['A', 'E', 'I', 'K', 'Q']"
"['F', 'I', 'L', 'O', 'P']"
"['C', 'D', 'M', 'O', 'Q']"
"['D', 'J', 'K', 'O', 'Q']"
"['C', 'J', 'K', 'L', 'N']"
"['D', 'G', 'I', 'K', 'O']"
"['B', 'C', 'I', 'K', 'L']"
"['H', 'J', 'L', 'O', 'P']"
"['C', 'D', 'G', 'M', 'O']"
"['A', 'D', 'E', 'G', 'H']"
"['A', 'B', 'H', 'J', 'P']"
"['A', 'B', 'G', 'M', 'N']"
"['A', 'C', 'H', 'L', 'N']"
"['E', 'I', 'L', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'O']"
"['A', 'I', 'J', 'N', 'P']"
"['A', 'G', 'M', 'O', 'Q']"
"['A', 'E', 'H', 'J', 'Q']"
"['D', 'F', 'G', 'J', 'L']"
"['A', 'K', 'M', 'O', 'P']"
"['A', 'D', 'F', 'H', 'I']"
"['B', 'H', 'I', 'L', 'M']"
"['D', 'H', 'K', 'M', 'Q']"
"['B', 'G', 'J', 'K', 'P']"
"['A', 'C', 'F', 'J', 'P']"
"['D', 'G', 'H', 'L', 'N']"
"['D', 'H', 'J', 'K', 'Q']"
"['A', 'F', 'I', 'K', 'Q']"
"['B', 'C', 'H', 'O', 'Q']"
"['A', 'F', 'I', 'L', 'M']"
"['C', 'D', 'L', 'N', 'P']"
"['A', 'C', 'H', 'I', 'O']"
"['D', 'I', 'J', 'L', 'N']"
"['A', 'D', 'J', 'K', 'N']"
"['A', 'D', 'G', 'P', 'Q']"
"['B', 'G', 'I', 'K', 'M']"
"['D', 'G', 'H', 'N', 'Q']"
"['C', 'D', 'H', 'J', 'M']"
